metrica,mercado,p_actual,p_bayes,bayes_lo,bayes_hi,dif,discrepancia,cuota,p_implicita,cuota_justa_actual,cuota_justa_bayes,ev_actual,ev_bayes,veredicto
goles,1 (gana local),0.35793708643225797,0.4303694577001622,0.28543361989511706,0.5686287262331768,0.07243237126790425,True,2.3,0.4347826086956522,2.79,2.32,-0.17674470120580676,-0.01015024728962699,sin valor
goles,X (empate),0.23000725967562247,0.20520807408682862,0.1755686049037843,0.2468648821901142,-0.02479918558879385,False,3.7,0.27027027027027023,4.35,4.87,-0.14897313920019684,-0.2407301258787341,sin valor
goles,2 (gana visitante),0.4120556538921197,0.3644224682130093,0.23059682724038602,0.5087844132450087,-0.0476331856791104,False,2.85,0.3508771929824561,2.43,2.74,0.174358613592541,0.03860403440707638,valor: ambos
goles,Ambos anotan / suman,0.692159677869097,0.7345725973539272,0.6297268315796009,0.8376283428685175,0.04241291948483017,False,1.45,0.6896551724137931,1.44,1.36,0.0036315329101905824,0.0651302661631945,valor: ambos
goles,Over 2.5,0.68651840799518,0.753418101252806,0.6195421870280557,0.8717375387551777,0.0668996932576259,True,1.57,0.6369426751592356,1.46,1.33,0.07783390055243267,0.18286641896690536,valor: ambos
goles,Under 2.5,0.31348159200481995,0.246581898747194,0.1282624612448223,0.38045781297194403,-0.06689969325762596,True,2.4,0.4166666666666667,3.19,4.06,-0.24764417918843218,-0.4082034430067344,sin valor
goles,Over 3.5,0.47200881841161635,0.5624147803434196,0.3968889008744376,0.7289712983202763,0.09040596193180328,True,2.3,0.4347826086956522,2.12,1.78,0.08562028234671759,0.2935539947898651,valor: ambos
goles,Under 3.5,0.5279911815883837,0.43758521965658054,0.27102870167972365,0.6031110991255622,-0.09040596193180311,True,1.6,0.625,1.89,2.29,-0.15521410945858616,-0.2998636485494711,sin valor
goles,Over 4.5,0.28215827855301534,0.3741242046558181,0.2189132309538448,0.5520139772011085,0.09196592610280274,True,,,3.54,2.67,,,sin cuota
goles,Under 4.5,0.7178417214469848,0.6258757953441819,0.44798602279889155,0.7810867690461551,-0.09196592610280285,True,,,1.39,1.6,,,sin cuota
goles,Over 5.5,0.14773733241415257,0.2229530081037327,0.10510258502318771,0.37654424361593314,0.07521567568958012,True,,,6.77,4.49,,,sin cuota
goles,Under 5.5,0.8522626675858476,0.7770469918962675,0.6234557563840669,0.8948974149768122,-0.0752156756895801,True,,,1.17,1.29,,,sin cuota
goles_1t,1 (gana local),0.33169536915955605,0.34800957505777375,0.22338205540160808,0.49615356903843005,0.016314205898217693,False,,,3.01,2.87,,,sin cuota
goles_1t,X (empate),0.37101975853155744,0.3492064014766099,0.27233312027796625,0.43221595703334653,-0.021813357054947524,False,,,2.7,2.86,,,sin cuota
goles_1t,2 (gana visitante),0.2972848723088864,0.3027840234656165,0.18396094566004106,0.45307020183701663,0.005499151156730109,False,,,3.36,3.3,,,sin cuota
goles_1t,Ambos anotan / suman,0.29983669830124643,0.3187330318987995,0.2020043336382607,0.4508878542300751,0.01889633359755305,False,,,3.34,3.14,,,sin cuota
goles_1t,Over 0.5,0.7839271186196219,0.8027786251746322,0.6962582230323321,0.8962943961993423,0.018851506555010222,False,1.28,0.78125,1.28,1.25,0.0034267118331161583,0.027556640223529216,valor: ambos
goles_1t,Under 0.5,0.21607288138037797,0.197221374825368,0.10370560380065774,0.303741776967668,-0.018851506555009973,False,3.5,0.2857142857142857,4.63,5.07,-0.24374491516867713,-0.30972518811121197,sin valor
goles_1t,Over 1.5,0.4691410891735199,0.5013407800279618,0.3421110284972491,0.6713528743849912,0.03219969085444191,False,2.05,0.48780487804878053,2.13,1.99,-0.038260767194284284,0.027748599057321632,valor solo bayes
goles_1t,Under 1.5,0.5308589108264801,0.49865921997203844,0.3286471256150086,0.6578889715027507,-0.03219969085444163,False,1.75,0.5714285714285714,1.88,2.01,-0.07099690605365994,-0.1273463650489327,sin valor
goles_1t,Over 2.5,0.20690632992441213,0.2432068737219532,0.12202388579884396,0.3979475218919555,0.03630054379754108,False,,,4.83,4.11,,,sin cuota
goles_1t,Under 2.5,0.7930936700755878,0.756793126278047,0.6020524781080443,0.877976114201156,-0.036300543797540885,False,,,1.26,1.32,,,sin cuota
goles_1t,Over 3.5,0.07368255310320358,0.09792585346796445,0.034375092703743476,0.19606470908543958,0.02424330036476087,False,,,13.57,10.21,,,sin cuota
goles_1t,Under 3.5,0.9263174468967963,0.9020741465320358,0.8039352909145603,0.9656249072962564,-0.024243300364760523,False,,,1.08,1.11,,,sin cuota
goles_2t,1 (gana local),0.29653178697162413,0.3783049959360582,0.25833690721286745,0.4824562862321298,0.08177320896443407,True,,,3.37,2.64,,,sin cuota
goles_2t,X (empate),0.30858307081587744,0.32914653785023423,0.27065279857031915,0.38468541947931256,0.020563467034356797,False,,,3.24,3.04,,,sin cuota
goles_2t,2 (gana visitante),0.3948851422124983,0.29254846621370756,0.2014628226134344,0.4283005023277204,-0.10233667599879076,True,,,2.53,3.42,,,sin cuota
goles_2t,Ambos anotan / suman,0.3914062268154502,0.3414107640133592,0.24090072344493146,0.47003088853177355,-0.049995462802090995,False,,,2.55,2.93,,,sin cuota
