estadistico,observado,simulado,p05,p95,dentro
media_local,0.139,0.135,0.088,0.188,True
media_visita,0.128,0.118,0.077,0.167,True
desv_local,0.413,0.366,0.298,0.44,True
desv_visita,0.354,0.342,0.273,0.411,True
pct_local_mas,0.1,0.112,0.074,0.153,True
pct_igual,0.796,0.791,0.735,0.84,True
pct_visita_mas,0.104,0.097,0.063,0.135,True
pct_over_-0.5,1.0,1.0,1.0,1.0,True
pct_ambos_positivos,0.016,0.014,0.005,0.026,True
