estadistico,observado,simulado,p05,p95,dentro
media_local,1.295,1.309,1.135,1.474,True
media_visita,1.188,1.251,1.074,1.417,True
desv_local,1.214,1.212,1.09,1.346,True
desv_visita,1.058,1.185,1.06,1.317,False
pct_local_mas,0.393,0.388,0.329,0.448,True
pct_igual,0.25,0.25,0.207,0.29,True
pct_visita_mas,0.357,0.362,0.302,0.419,True
pct_over_1.5,0.71,0.704,0.64,0.76,True
pct_ambos_positivos,0.467,0.485,0.421,0.545,True
