estadistico,observado,simulado,p05,p95,dentro
media_local,10.384,10.22,9.691,10.754,True
media_visita,10.601,10.507,9.949,11.027,True
desv_local,3.44,3.456,3.157,3.745,True
desv_visita,3.642,3.519,3.235,3.806,True
pct_local_mas,0.456,0.437,0.366,0.502,True
pct_igual,0.066,0.081,0.057,0.105,True
pct_visita_mas,0.477,0.482,0.423,0.55,True
pct_over_20.5,0.532,0.497,0.423,0.568,True
pct_ambos_positivos,1.0,1.0,0.997,1.0,True
