estadistico,observado,simulado,p05,p95,dentro
media_local,10.724,10.879,10.399,11.334,True
media_visita,11.086,11.188,10.681,11.675,True
desv_local,3.339,3.393,3.186,3.606,True
desv_visita,3.384,3.432,3.212,3.658,True
pct_local_mas,0.433,0.434,0.379,0.498,True
pct_igual,0.081,0.082,0.062,0.105,True
pct_visita_mas,0.486,0.484,0.421,0.543,True
pct_over_21.5,0.512,0.532,0.471,0.6,True
pct_ambos_positivos,1.0,1.0,1.0,1.0,True
