estadistico,observado,simulado,p05,p95,dentro
media_local,5.35,5.329,4.985,5.736,True
media_visita,4.56,4.513,4.2,4.842,True
desv_local,2.686,2.424,2.237,2.633,False
desv_visita,2.698,2.207,2.039,2.378,False
pct_local_mas,0.536,0.536,0.467,0.6,True
pct_igual,0.107,0.119,0.095,0.145,True
pct_visita_mas,0.357,0.345,0.283,0.412,True
pct_over_9.5,0.548,0.517,0.46,0.583,True
pct_ambos_positivos,0.971,0.98,0.969,0.99,True
