estadistico,observado,simulado,p05,p95,dentro
media_local,0.275,0.285,0.203,0.377,True
media_visita,0.322,0.327,0.233,0.428,True
desv_local,0.541,0.533,0.443,0.632,True
desv_visita,0.543,0.57,0.479,0.673,True
pct_local_mas,0.169,0.185,0.131,0.25,True
pct_igual,0.614,0.596,0.521,0.665,True
pct_visita_mas,0.216,0.219,0.157,0.284,True
pct_over_0.5,0.445,0.455,0.373,0.543,True
pct_ambos_positivos,0.072,0.068,0.038,0.102,True
