estadistico,observado,simulado,p05,p95,dentro
media_local,0.081,0.077,0.04,0.121,True
media_visita,0.088,0.081,0.043,0.124,True
desv_local,0.321,0.275,0.203,0.351,True
desv_visita,0.3,0.283,0.208,0.354,True
pct_local_mas,0.052,0.068,0.036,0.105,True
pct_igual,0.883,0.86,0.805,0.907,True
pct_visita_mas,0.064,0.072,0.04,0.105,True
pct_over_-0.5,1.0,1.0,1.0,1.0,True
pct_ambos_positivos,0.019,0.006,0.0,0.014,False
