estadistico,observado,simulado,p05,p95,dentro
media_local,1.707,1.66,1.459,1.862,True
media_visita,1.936,1.851,1.648,2.067,True
desv_local,1.188,1.3,1.191,1.419,False
desv_visita,1.275,1.37,1.261,1.48,True
pct_local_mas,0.345,0.351,0.29,0.412,True
pct_igual,0.217,0.22,0.186,0.255,True
pct_visita_mas,0.438,0.43,0.357,0.495,True
pct_over_3.5,0.514,0.464,0.405,0.524,True
pct_ambos_positivos,0.748,0.676,0.626,0.726,False
