estadistico,observado,simulado,p05,p95,dentro
media_local,0.682,0.687,0.568,0.791,True
media_visita,0.494,0.525,0.427,0.631,True
desv_local,0.82,0.857,0.76,0.938,True
desv_visita,0.694,0.74,0.654,0.834,True
pct_local_mas,0.35,0.337,0.283,0.392,True
pct_igual,0.432,0.424,0.371,0.481,True
pct_visita_mas,0.218,0.239,0.188,0.29,True
pct_over_0.5,0.694,0.688,0.633,0.74,True
pct_ambos_positivos,0.188,0.196,0.148,0.241,True
