estadistico,observado,simulado,p05,p95,dentro
media_local,1.826,1.904,1.687,2.141,True
media_visita,1.459,1.49,1.276,1.721,True
desv_local,1.418,1.471,1.334,1.648,True
desv_visita,1.279,1.289,1.156,1.453,True
pct_local_mas,0.444,0.471,0.411,0.541,True
pct_igual,0.24,0.217,0.174,0.255,True
pct_visita_mas,0.315,0.311,0.246,0.373,True
pct_over_2.5,0.652,0.643,0.574,0.712,True
pct_ambos_positivos,0.616,0.627,0.558,0.688,True
