estadistico,observado,simulado,p05,p95,dentro
media_local,0.824,0.807,0.683,0.929,True
media_visita,0.736,0.744,0.609,0.883,True
desv_local,0.909,0.903,0.815,0.991,True
desv_visita,0.828,0.863,0.768,0.951,True
pct_local_mas,0.333,0.338,0.281,0.398,True
pct_igual,0.379,0.36,0.314,0.405,True
pct_visita_mas,0.288,0.302,0.245,0.362,True
pct_over_1.5,0.474,0.458,0.393,0.522,True
pct_ambos_positivos,0.293,0.286,0.233,0.343,True
