estadistico,observado,simulado,p05,p95,dentro
media_local,0.852,0.865,0.712,1.017,True
media_visita,0.674,0.694,0.546,0.839,True
desv_local,0.978,0.935,0.822,1.064,True
desv_visita,0.77,0.835,0.727,0.943,True
pct_local_mas,0.339,0.37,0.297,0.437,True
pct_igual,0.39,0.357,0.297,0.415,True
pct_visita_mas,0.271,0.273,0.208,0.339,True
pct_over_1.5,0.47,0.46,0.39,0.538,True
pct_ambos_positivos,0.292,0.284,0.225,0.348,True
