estadistico,observado,simulado,p05,p95,dentro
media_local,4.517,4.601,4.302,4.96,True
media_visita,3.893,3.965,3.645,4.252,True
desv_local,2.25,2.24,2.085,2.417,True
desv_visita,2.114,2.071,1.918,2.241,True
pct_local_mas,0.519,0.516,0.457,0.588,True
pct_igual,0.11,0.129,0.1,0.157,True
pct_visita_mas,0.371,0.355,0.283,0.412,True
pct_over_7.5,0.598,0.616,0.555,0.683,True
pct_ambos_positivos,0.95,0.965,0.945,0.981,True
