estadistico,observado,simulado,p05,p95,dentro
media_local,12.312,11.929,11.443,12.433,True
media_visita,12.767,12.325,11.764,12.924,True
desv_local,3.788,3.718,3.467,3.992,True
desv_visita,4.343,3.796,3.53,4.112,False
pct_local_mas,0.448,0.433,0.374,0.491,True
pct_igual,0.076,0.075,0.052,0.098,True
pct_visita_mas,0.476,0.492,0.436,0.557,True
pct_over_24.5,0.517,0.465,0.4,0.531,True
pct_ambos_positivos,1.0,1.0,1.0,1.0,True
