estadistico,observado,simulado,p05,p95,dentro
media_local,0.635,0.634,0.506,0.766,True
media_visita,0.585,0.593,0.476,0.717,True
desv_local,0.756,0.802,0.708,0.91,True
desv_visita,0.815,0.771,0.674,0.856,True
pct_local_mas,0.325,0.306,0.243,0.371,True
pct_igual,0.401,0.414,0.351,0.477,True
pct_visita_mas,0.275,0.28,0.219,0.354,True
pct_over_0.5,0.696,0.704,0.643,0.763,True
pct_ambos_positivos,0.205,0.206,0.155,0.266,True
