estadistico,observado,simulado,p05,p95,dentro
media_local,14.847,15.285,14.648,15.959,True
media_visita,12.06,12.241,11.682,12.862,True
desv_local,5.421,4.728,4.298,5.13,False
desv_visita,4.668,4.162,3.789,4.567,False
pct_local_mas,0.625,0.651,0.594,0.709,True
pct_igual,0.042,0.055,0.036,0.078,True
pct_visita_mas,0.333,0.294,0.24,0.354,True
pct_over_26.5,0.511,0.551,0.489,0.616,True
pct_ambos_positivos,1.0,1.0,1.0,1.0,True
