estadistico,observado,simulado,p05,p95,dentro
media_local,1.564,1.561,1.335,1.797,True
media_visita,1.208,1.237,1.055,1.449,True
desv_local,1.276,1.272,1.15,1.416,True
desv_visita,1.059,1.127,0.991,1.258,True
pct_local_mas,0.441,0.44,0.364,0.513,True
pct_igual,0.242,0.259,0.208,0.314,True
pct_visita_mas,0.318,0.3,0.233,0.373,True
pct_over_2.5,0.547,0.526,0.449,0.602,True
pct_ambos_positivos,0.581,0.556,0.487,0.623,True
