temporada_txt,jornada_val,fecha_dt,hora_local_txt,hora_utc_txt,equipo_local_txt,equipo_visitante_txt,goles_local_val,goles_visitante_val,goles_local_primer_tiempo_val,goles_local_segundo_tiempo_val,goles_visitante_primer_tiempo_val,goles_visitante_segundo_tiempo_val,goles_total_primer_tiempo_val,goles_total_segundo_tiempo_val,goles_total_partido_val,tiros_local_val,tiros_visitante_val,tiros_a_puerta_local_val,tiros_a_puerta_visitante_val,corners_local_val,corners_visitante_val,faltas_local_val,faltas_visitante_val,amarillas_local_val,amarillas_visitante_val,rojas_local_val,rojas_visitante_val
2025-26,5,26/09/2025,20:30,18:30,Bayern Munich,Werder Bremen,4,0,2,2,0,0,2,2,4,26,9,13,3,7,6,9,4,2,0,0,0
2025-26,5,27/09/2025,15:30,13:30,Heidenheim,Augsburg,2,1,0,2,0,1,0,3,3,11,8,5,2,3,2,16,20,1,6,0,0
2025-26,5,27/09/2025,15:30,13:30,Mainz,Borussia Dortmund,0,2,0,0,2,0,2,0,2,8,10,2,4,7,5,12,14,2,1,1,0
2025-26,5,27/09/2025,15:30,13:30,St. Pauli,Bayer Leverkusen,1,2,1,0,1,1,2,1,3,13,5,6,4,13,1,13,11,3,5,0,0
2025-26,5,27/09/2025,15:30,13:30,Wolfsburg,RB Leipzig,0,1,0,0,1,0,1,0,1,22,20,4,6,6,11,7,9,2,2,0,0
2025-26,5,27/09/2025,18:30,16:30,Borussia Monchengladbach,Eintracht Frankfurt,4,6,0,4,5,1,5,5,10,11,21,8,7,4,6,14,8,1,2,0,0
2025-26,5,28/09/2025,15:30,13:30,Freiburg,Hoffenheim,1,1,1,0,1,0,2,0,2,6,15,1,4,6,8,9,15,3,1,0,0
2025-26,5,28/09/2025,17:30,15:30,FC Koln,Stuttgart,1,2,1,0,1,1,2,1,3,14,15,6,5,8,8,12,12,2,2,0,0
2025-26,5,28/09/2025,19:30,17:30,Union Berlin,Hamburger SV,0,0,0,0,0,0,0,0,0,11,16,2,6,5,3,18,17,2,2,0,1
2025-26,6,03/10/2025,20:30,18:30,Hoffenheim,FC Koln,0,1,0,0,1,0,1,0,1,15,10,4,4,11,6,15,6,3,1,0,0
2025-26,6,04/10/2025,15:30,13:30,Augsburg,Wolfsburg,3,1,1,2,0,1,1,3,4,10,14,5,4,10,5,9,7,2,1,0,0
2025-26,6,04/10/2025,15:30,13:30,Borussia Dortmund,RB Leipzig,1,1,1,0,1,0,2,0,2,15,13,3,3,7,7,13,14,1,3,0,0
2025-26,6,04/10/2025,15:30,13:30,Bayer Leverkusen,Union Berlin,2,0,1,1,0,0,1,1,2,20,10,3,3,4,4,11,13,1,3,0,0
2025-26,6,04/10/2025,15:30,13:30,Werder Bremen,St. Pauli,1,0,1,0,0,0,1,0,1,15,13,5,3,4,1,8,9,3,1,0,0
2025-26,6,04/10/2025,18:30,16:30,Eintracht Frankfurt,Bayern Munich,0,3,0,0,2,1,2,1,3,6,12,1,3,4,3,11,11,1,2,0,0
2025-26,6,05/10/2025,15:30,13:30,Stuttgart,Heidenheim,1,0,0,1,0,0,0,1,1,18,5,6,1,1,1,11,12,1,1,0,0
2025-26,6,05/10/2025,17:30,15:30,Hamburger SV,Mainz,4,0,2,2,0,0,2,2,4,15,11,9,4,1,4,14,13,2,3,0,0
2025-26,6,05/10/2025,19:30,17:30,Borussia Monchengladbach,Freiburg,0,0,0,0,0,0,0,0,0,9,12,5,1,4,1,15,7,3,1,0,0
2025-26,7,17/10/2025,20:30,18:30,Union Berlin,Borussia Monchengladbach,3,1,2,1,1,0,3,1,4,16,8,5,2,6,6,21,15,5,3,0,0
2025-26,7,18/10/2025,15:30,13:30,FC Koln,Augsburg,1,1,0,1,0,1,0,2,2,9,10,2,4,5,2,10,17,2,2,0,0
2025-26,7,18/10/2025,15:30,13:30,Heidenheim,Werder Bremen,2,2,0,2,0,2,0,4,4,31,11,11,4,12,2,9,11,1,3,0,0
2025-26,7,18/10/2025,15:30,13:30,Mainz,Bayer Leverkusen,3,4,1,2,3,1,4,3,7,12,20,4,8,2,3,20,12,4,4,0,0
2025-26,7,18/10/2025,15:30,13:30,RB Leipzig,Hamburger SV,2,1,1,1,0,1,1,2,3,10,15,4,3,3,5,13,12,3,1,0,0
2025-26,7,18/10/2025,15:30,13:30,Wolfsburg,Stuttgart,0,3,0,0,1,2,1,2,3,11,15,3,7,3,8,12,8,1,1,0,0
2025-26,7,18/10/2025,18:30,16:30,Bayern Munich,Borussia Dortmund,2,1,1,1,0,1,1,2,3,15,8,7,1,4,3,12,17,1,3,0,0
2025-26,7,19/10/2025,15:30,13:30,Freiburg,Eintracht Frankfurt,2,2,1,1,2,0,3,1,4,12,8,5,3,3,1,6,15,2,3,0,0
2025-26,7,19/10/2025,17:30,15:30,St. Pauli,Hoffenheim,0,3,0,0,0,3,0,3,3,10,14,2,5,9,7,10,17,1,3,0,0
2025-26,8,24/10/2025,20:30,18:30,Werder Bremen,Union Berlin,1,0,0,1,0,0,0,1,1,16,12,3,2,5,6,6,13,4,0,0,0
2025-26,8,25/10/2025,15:30,13:30,Augsburg,RB Leipzig,0,6,0,0,4,2,4,2,6,15,15,2,8,2,3,9,10,3,1,0,0
2025-26,8,25/10/2025,15:30,13:30,Eintracht Frankfurt,St. Pauli,2,0,1,1,0,0,1,1,2,10,9,6,1,1,3,11,6,0,1,0,0
2025-26,8,25/10/2025,15:30,13:30,Hamburger SV,Wolfsburg,0,1,0,0,1,0,1,0,1,27,6,6,2,11,1,8,18,1,5,0,0
2025-26,8,25/10/2025,15:30,13:30,Hoffenheim,Heidenheim,3,1,2,1,0,1,2,2,4,14,12,7,3,7,5,14,13,1,1,0,0
2025-26,8,25/10/2025,15:30,13:30,Borussia Monchengladbach,Bayern Munich,0,3,0,0,0,3,0,3,3,1,27,0,11,1,8,6,9,0,3,1,0
2025-26,8,25/10/2025,18:30,16:30,Borussia Dortmund,FC Koln,1,0,0,1,0,0,0,1,1,27,5,9,0,17,2,10,8,2,2,0,0
2025-26,8,26/10/2025,15:30,14:30,Bayer Leverkusen,Freiburg,2,0,1,1,0,0,1,1,2,19,10,4,3,2,3,9,8,1,2,0,1
2025-26,8,26/10/2025,17:30,16:30,Stuttgart,Mainz,2,1,1,1,1,0,2,1,3,19,13,8,2,7,5,11,12,4,3,0,0
2025-26,9,31/10/2025,20:30,19:30,Augsburg,Borussia Dortmund,0,1,0,0,1,0,1,0,1,9,5,1,1,4,3,14,16,4,1,0,0
2025-26,9,01/11/2025,15:30,14:30,Heidenheim,Eintracht Frankfurt,1,1,1,0,0,1,1,1,2,9,16,4,3,2,8,7,11,0,2,0,0
2025-26,9,01/11/2025,15:30,14:30,Mainz,Werder Bremen,1,1,1,0,0,1,1,1,2,10,5,5,3,2,0,19,11,1,3,0,0
2025-26,9,01/11/2025,15:30,14:30,RB Leipzig,Stuttgart,3,1,1,2,0,1,1,3,4,16,14,9,4,5,5,8,10,1,2,0,0
2025-26,9,01/11/2025,15:30,14:30,St. Pauli,Borussia Monchengladbach,0,4,0,0,2,2,2,2,4,16,15,4,11,8,1,11,8,4,0,0,0
2025-26,9,01/11/2025,15:30,14:30,Union Berlin,Freiburg,0,0,0,0,0,0,0,0,0,11,13,2,4,5,5,20,13,6,1,0,0
2025-26,9,01/11/2025,18:30,17:30,Bayern Munich,Bayer Leverkusen,3,0,3,0,0,0,3,0,3,18,7,4,1,10,4,11,3,1,1,0,0
2025-26,9,02/11/2025,15:30,14:30,FC Koln,Hamburger SV,4,1,1,3,0,1,1,4,5,23,11,10,5,2,3,8,18,1,6,0,2
2025-26,9,02/11/2025,17:30,16:30,Wolfsburg,Hoffenheim,2,3,1,1,1,2,2,3,5,12,10,6,4,2,2,10,17,0,2,0,0
2025-26,10,07/11/2025,20:30,19:30,Werder Bremen,Wolfsburg,2,1,0,2,1,0,1,2,3,20,7,7,4,13,3,13,8,2,0,0,0
2025-26,10,08/11/2025,15:30,14:30,Hamburger SV,Borussia Dortmund,1,1,0,1,0,1,0,2,2,9,17,3,1,2,6,14,8,1,1,0,0
2025-26,10,08/11/2025,15:30,14:30,Hoffenheim,RB Leipzig,3,1,2,1,1,0,3,1,4,12,17,4,5,5,5,13,5,3,2,0,0
2025-26,10,08/11/2025,15:30,14:30,Bayer Leverkusen,Heidenheim,6,0,5,1,0,0,5,1,6,25,1,10,0,11,1,5,7,0,1,0,0
2025-26,10,08/11/2025,15:30,14:30,Union Berlin,Bayern Munich,2,2,1,1,1,1,2,2,4,12,12,4,4,6,5,8,8,2,4,0,0
2025-26,10,08/11/2025,18:30,17:30,Borussia Monchengladbach,FC Koln,3,1,1,2,0,1,1,3,4,9,19,4,5,2,6,11,13,2,3,0,0
2025-26,10,09/11/2025,15:30,14:30,Freiburg,St. Pauli,2,1,1,1,0,1,1,2,3,8,7,4,2,9,3,8,12,2,2,0,0
2025-26,10,09/11/2025,17:30,16:30,Stuttgart,Augsburg,3,2,2,1,2,0,4,1,5,17,17,6,6,4,4,13,10,2,3,0,0
2025-26,10,09/11/2025,19:30,18:30,Eintracht Frankfurt,Mainz,1,0,0,1,0,0,0,1,1,14,3,4,0,4,3,8,14,0,5,0,0
2025-26,11,21/11/2025,20:30,19:30,Mainz,Hoffenheim,1,1,0,1,1,0,1,1,2,17,19,3,5,7,4,13,13,3,2,1,0
2025-26,11,22/11/2025,15:30,14:30,Augsburg,Hamburger SV,1,0,0,1,0,0,0,1,1,13,15,6,6,4,3,13,10,2,3,1,0
