temporada_txt,jornada_val,fecha_dt,hora_local_txt,hora_utc_txt,equipo_local_txt,equipo_visitante_txt,goles_local_val,goles_visitante_val,goles_local_primer_tiempo_val,goles_local_segundo_tiempo_val,goles_visitante_primer_tiempo_val,goles_visitante_segundo_tiempo_val,goles_total_primer_tiempo_val,goles_total_segundo_tiempo_val,goles_total_partido_val,tiros_local_val,tiros_visitante_val,tiros_a_puerta_local_val,tiros_a_puerta_visitante_val,corners_local_val,corners_visitante_val,faltas_local_val,faltas_visitante_val,amarillas_local_val,amarillas_visitante_val,rojas_local_val,rojas_visitante_val
2025-26,4,21/09/2025,20:45,18:45,Inter,Sassuolo,2,1,1,1,0,1,1,2,3,20,9,6,5,7,3,15,8,2,1,0,0
2025-26,4,22/09/2025,20:45,18:45,Napoli,Pisa,3,2,1,2,0,2,1,4,5,18,15,6,6,5,3,10,18,1,2,0,0
2025-26,5,27/09/2025,15:00,13:00,Como,Cremonese,1,1,1,0,0,1,1,1,2,14,9,6,2,4,3,16,17,3,4,1,0
2025-26,5,27/09/2025,18:00,16:00,Juventus,Atalanta,1,1,0,1,1,0,1,1,2,24,12,10,2,14,5,6,7,0,3,0,1
2025-26,5,27/09/2025,20:45,18:45,Cagliari,Inter,0,2,0,0,1,1,1,1,2,6,20,0,5,4,4,13,14,0,2,0,0
2025-26,5,28/09/2025,12:30,10:30,Sassuolo,Udinese,3,1,2,1,0,1,2,2,4,11,12,5,5,1,5,5,22,0,3,0,0
2025-26,5,28/09/2025,15:00,13:00,Pisa,Fiorentina,0,0,0,0,0,0,0,0,0,11,14,1,2,4,6,15,15,0,1,0,0
2025-26,5,28/09/2025,15:00,13:00,AS Roma,Hellas Verona,2,0,1,1,0,0,1,1,2,10,12,5,3,8,1,11,19,0,4,0,0
2025-26,5,28/09/2025,18:00,16:00,Lecce,Bologna,2,2,1,1,1,1,2,2,4,12,14,4,5,3,9,13,13,4,2,0,0
2025-26,5,28/09/2025,20:45,18:45,AC Milan,Napoli,2,1,2,0,0,1,2,1,3,6,19,3,7,1,7,7,7,1,0,1,0
2025-26,5,29/09/2025,18:30,16:30,Parma,Torino,2,1,1,1,0,1,1,2,3,13,15,2,4,4,3,10,12,3,3,0,0
2025-26,5,29/09/2025,20:45,18:45,Genoa,Lazio,0,3,0,0,2,1,2,1,3,17,10,5,6,6,0,18,16,5,1,0,0
2025-26,6,03/10/2025,20:45,18:45,Hellas Verona,Sassuolo,0,1,0,0,0,1,0,1,1,17,11,9,3,4,2,14,12,2,2,0,0
2025-26,6,04/10/2025,15:00,13:00,Lazio,Torino,3,3,2,1,1,2,3,3,6,9,16,4,8,3,5,13,22,3,3,0,0
2025-26,6,04/10/2025,15:00,13:00,Parma,Lecce,0,1,0,0,1,0,1,0,1,10,7,2,3,4,9,16,16,1,2,0,0
2025-26,6,04/10/2025,18:00,16:00,Inter,Cremonese,4,1,2,2,0,1,2,3,5,27,3,9,2,13,1,9,8,1,1,0,0
2025-26,6,04/10/2025,20:45,18:45,Atalanta,Como,1,1,1,0,1,0,2,0,2,16,12,4,4,8,3,10,19,1,3,0,0
2025-26,6,05/10/2025,12:30,10:30,Udinese,Cagliari,1,1,0,1,1,0,1,1,2,23,8,4,2,7,2,14,16,1,2,0,0
2025-26,6,05/10/2025,15:00,13:00,Bologna,Pisa,4,0,3,1,0,0,3,1,4,24,2,7,0,2,2,16,12,0,1,0,1
2025-26,6,05/10/2025,15:00,13:00,Fiorentina,AS Roma,1,2,1,0,2,0,3,0,3,11,8,3,3,3,4,19,21,2,3,0,0
2025-26,6,05/10/2025,18:00,16:00,Napoli,Genoa,2,1,0,2,1,0,1,2,3,12,6,5,1,7,5,16,15,1,3,0,0
2025-26,6,05/10/2025,20:45,18:45,Juventus,AC Milan,0,0,0,0,0,0,0,0,0,12,13,3,4,6,0,15,8,2,2,0,0
2025-26,7,18/10/2025,15:00,13:00,Lecce,Sassuolo,0,0,0,0,0,0,0,0,0,11,9,2,2,6,4,16,14,2,2,0,0
2025-26,7,18/10/2025,15:00,13:00,Pisa,Hellas Verona,0,0,0,0,0,0,0,0,0,7,15,0,3,3,8,8,14,4,2,0,0
2025-26,7,18/10/2025,18:00,16:00,Torino,Napoli,1,0,1,0,0,0,1,0,1,12,22,2,5,3,11,9,9,1,2,0,0
2025-26,7,18/10/2025,20:45,18:45,AS Roma,Inter,0,1,0,0,1,0,1,0,1,15,12,5,3,4,5,18,29,4,3,0,0
2025-26,7,19/10/2025,12:30,10:30,Como,Juventus,2,0,1,1,0,0,1,1,2,12,15,6,3,4,1,17,15,3,1,0,0
2025-26,7,19/10/2025,15:00,13:00,Cagliari,Bologna,0,2,0,0,1,1,1,1,2,4,10,3,7,2,7,15,22,1,3,0,0
2025-26,7,19/10/2025,15:00,13:00,Genoa,Parma,0,0,0,0,0,0,0,0,0,23,1,7,0,3,0,15,13,2,5,0,1
2025-26,7,19/10/2025,18:00,16:00,Atalanta,Lazio,0,0,0,0,0,0,0,0,0,16,4,6,1,7,1,10,5,4,0,0,0
2025-26,7,19/10/2025,20:45,18:45,AC Milan,Fiorentina,2,1,0,2,0,1,0,3,3,14,5,4,1,1,3,14,12,3,3,0,0
2025-26,7,20/10/2025,20:45,18:45,Cremonese,Udinese,1,1,1,0,0,1,1,1,2,11,8,4,1,5,4,15,14,4,2,0,0
2025-26,8,24/10/2025,20:45,18:45,AC Milan,Pisa,2,2,1,1,0,2,1,3,4,20,8,7,2,6,2,8,21,1,3,0,0
2025-26,8,25/10/2025,15:00,13:00,Parma,Como,0,0,0,0,0,0,0,0,0,10,6,3,2,3,3,7,14,0,1,0,0
2025-26,8,25/10/2025,15:00,13:00,Udinese,Lecce,3,2,2,1,0,2,2,3,5,8,13,4,3,4,9,12,12,2,2,0,0
2025-26,8,25/10/2025,18:00,16:00,Napoli,Inter,3,1,1,2,0,1,1,3,4,7,15,3,3,1,4,15,10,2,1,0,0
2025-26,8,25/10/2025,20:45,18:45,Cremonese,Atalanta,1,1,0,1,0,1,0,2,2,9,20,5,6,2,10,6,8,3,1,0,0
2025-26,8,26/10/2025,12:30,11:30,Torino,Genoa,2,1,0,2,1,0,1,2,3,13,11,6,3,9,1,14,9,2,2,0,0
2025-26,8,26/10/2025,15:00,14:00,Sassuolo,AS Roma,0,1,0,0,1,0,1,0,1,11,15,1,8,6,6,18,16,3,2,0,0
2025-26,8,26/10/2025,15:00,14:00,Hellas Verona,Cagliari,2,2,1,1,0,2,1,3,4,10,7,6,3,3,2,16,12,3,4,0,0
2025-26,8,26/10/2025,18:00,17:00,Fiorentina,Bologna,2,2,0,2,1,1,1,3,4,19,6,7,3,5,6,13,20,3,5,0,1
2025-26,8,26/10/2025,20:45,19:45,Lazio,Juventus,1,0,1,0,0,0,1,0,1,13,14,3,5,2,5,11,18,2,4,0,0
2025-26,9,28/10/2025,18:30,17:30,Lecce,Napoli,0,1,0,0,0,1,0,1,1,7,14,2,3,3,5,10,14,2,1,0,0
2025-26,9,28/10/2025,20:45,19:45,Atalanta,AC Milan,1,1,1,0,1,0,2,0,2,17,6,3,1,9,4,9,8,1,3,0,0
2025-26,9,29/10/2025,18:30,17:30,Como,Hellas Verona,3,1,1,2,1,0,2,2,4,15,13,5,9,1,3,11,21,1,4,0,0
2025-26,9,29/10/2025,18:30,17:30,Juventus,Udinese,3,1,1,2,1,0,2,2,4,25,8,11,2,8,4,12,13,1,4,0,0
2025-26,9,29/10/2025,18:30,17:30,AS Roma,Parma,2,1,0,2,0,1,0,3,3,18,8,6,5,9,2,8,9,0,3,0,0
2025-26,9,29/10/2025,20:45,19:45,Bologna,Torino,0,0,0,0,0,0,0,0,0,11,8,2,2,3,3,11,20,2,3,0,0
2025-26,9,29/10/2025,20:45,19:45,Genoa,Cremonese,0,2,0,0,1,1,1,1,2,16,12,1,4,7,3,16,13,3,1,0,0
2025-26,9,29/10/2025,20:45,19:45,Inter,Fiorentina,3,0,0,3,0,0,0,3,3,22,10,8,2,8,5,11,16,1,2,0,1
2025-26,9,30/10/2025,18:30,17:30,Cagliari,Sassuolo,1,2,0,1,0,2,0,3,3,8,12,1,4,6,7,20,21,4,4,0,0
2025-26,9,30/10/2025,20:45,19:45,Pisa,Lazio,0,0,0,0,0,0,0,0,0,10,11,2,6,3,1,16,12,2,2,0,0
2025-26,10,01/11/2025,15:00,14:00,Udinese,Atalanta,1,0,1,0,0,0,1,0,1,11,5,5,0,5,4,14,11,1,3,0,0
2025-26,10,01/11/2025,18:00,17:00,Napoli,Como,0,0,0,0,0,0,0,0,0,13,13,8,2,4,2,15,16,3,2,0,0
2025-26,10,01/11/2025,20:45,19:45,Cremonese,Juventus,1,2,0,1,1,1,1,2,3,9,15,2,5,2,3,10,14,1,0,0,0
2025-26,10,02/11/2025,12:30,11:30,Hellas Verona,Inter,1,2,1,0,1,1,2,1,3,8,21,2,6,4,8,15,4,2,1,0,0
2025-26,10,02/11/2025,15:00,14:00,Fiorentina,Lecce,0,1,0,0,1,0,1,0,1,15,11,4,4,4,4,14,21,4,1,0,0
2025-26,10,02/11/2025,15:00,14:00,Torino,Pisa,2,2,2,0,2,0,4,0,4,15,11,3,3,4,2,14,8,2,1,0,0
2025-26,10,02/11/2025,18:00,17:00,Parma,Bologna,1,3,1,0,1,2,2,2,4,7,22,1,6,1,5,16,15,3,2,1,0
2025-26,10,02/11/2025,20:45,19:45,AC Milan,AS Roma,1,0,1,0,0,0,1,0,1,17,20,8,6,7,8,12,13,1,5,0,0
2025-26,10,03/11/2025,18:30,17:30,Sassuolo,Genoa,1,2,0,1,1,1,1,2,3,13,16,4,5,3,7,13,13,1,3,0,0
2025-26,10,03/11/2025,20:45,19:45,Lazio,Cagliari,2,0,0,2,0,0,0,2,2,8,17,3,5,7,5,8,18,0,2,0,0
2025-26,11,07/11/2025,20:45,19:45,Pisa,Cremonese,1,0,0,1,0,0,0,1,1,14,13,6,3,4,5,11,17,4,2,0,0
2025-26,11,08/11/2025,15:00,14:00,Como,Cagliari,0,0,0,0,0,0,0,0,0,10,4,6,2,10,0,21,15,3,1,0,0
2025-26,11,08/11/2025,15:00,14:00,Lecce,Hellas Verona,0,0,0,0,0,0,0,0,0,11,5,6,2,7,2,10,18,1,4,0,0
2025-26,11,08/11/2025,18:00,17:00,Juventus,Torino,0,0,0,0,0,0,0,0,0,22,8,6,3,6,2,9,4,0,1,0,0
2025-26,11,08/11/2025,20:45,19:45,Parma,AC Milan,2,2,1,1,2,0,3,1,4,14,10,4,5,4,3,14,10,1,1,0,0
2025-26,11,09/11/2025,12:30,11:30,Atalanta,Sassuolo,0,3,0,0,1,2,1,2,3,14,8,2,4,4,1,9,8,0,2,0,0
2025-26,11,09/11/2025,15:00,14:00,Bologna,Napoli,2,0,0,2,0,0,0,2,2,11,4,4,1,5,4,14,15,1,3,0,0
2025-26,11,09/11/2025,15:00,14:00,Genoa,Fiorentina,2,2,1,1,1,1,2,2,4,10,7,6,3,3,7,20,15,2,3,0,0
2025-26,11,09/11/2025,18:00,17:00,AS Roma,Udinese,2,0,1,1,0,0,1,1,2,13,10,4,4,3,4,13,14,2,1,0,0
2025-26,11,09/11/2025,20:45,19:45,Inter,Lazio,2,0,1,1,0,0,1,1,2,8,8,3,5,3,1,26,11,3,1,0,0
2025-26,12,22/11/2025,15:00,14:00,Cagliari,Genoa,3,3,2,1,2,1,4,2,6,11,13,5,8,6,2,22,16,4,3,0,1
2025-26,12,22/11/2025,15:00,14:00,Udinese,Bologna,0,3,0,0,0,3,0,3,3,12,10,3,5,7,2,19,16,0,1,0,0
2025-26,12,22/11/2025,18:00,17:00,Fiorentina,Juventus,1,1,0,1,1,0,1,1,2,11,17,2,4,7,3,11,18,2,3,0,0
2025-26,12,22/11/2025,20:45,19:45,Napoli,Atalanta,3,1,3,0,0,1,3,1,4,11,14,6,3,5,3,11,12,1,2,0,0
2025-26,12,23/11/2025,12:30,11:30,Hellas Verona,Parma,1,2,0,1,1,1,1,2,3,10,15,2,7,4,4,24,6,4,3,0,0
2025-26,12,23/11/2025,15:00,14:00,Cremonese,AS Roma,1,3,0,1,1,2,1,3,4,9,12,4,6,3,5,12,16,2,2,0,0
2025-26,12,23/11/2025,18:00,17:00,Lazio,Lecce,2,0,1,1,0,0,1,1,2,19,5,9,1,8,2,8,13,1,1,0,0
2025-26,12,23/11/2025,20:45,19:45,Inter,AC Milan,0,1,0,0,0,1,0,1,1,20,7,6,3,9,1,7,9,1,2,0,0
2025-26,12,24/11/2025,18:30,17:30,Torino,Como,1,5,1,0,1,4,2,4,6,10,15,2,7,3,4,6,9,0,1,0,0
2025-26,12,24/11/2025,20:45,19:45,Sassuolo,Pisa,2,2,1,1,1,1,2,2,4,22,10,7,3,5,2,10,10,2,1,0,0
2025-26,13,28/11/2025,20:45,19:45,Como,Sassuolo,2,0,1,1,0,0,1,1,2,18,12,13,5,4,4,11,7,2,1,0,0
2025-26,13,29/11/2025,15:00,14:00,Genoa,Hellas Verona,2,1,1,1,1,0,2,1,3,15,13,4,5,2,3,9,19,1,3,0,0
2025-26,13,29/11/2025,15:00,14:00,Parma,Udinese,0,2,0,0,1,1,1,1,2,17,14,2,5,5,9,6,19,1,2,1,1
2025-26,13,29/11/2025,18:00,17:00,Juventus,Cagliari,2,1,2,0,1,0,3,0,3,14,5,6,3,1,6,16,16,1,5,0,0
2025-26,13,29/11/2025,20:45,19:45,AC Milan,Lazio,1,0,0,1,0,0,0,1,1,16,9,4,4,1,4,10,12,3,3,0,0
2025-26,13,30/11/2025,12:30,11:30,Lecce,Torino,2,1,2,0,0,1,2,1,3,10,15,2,6,6,6,16,22,2,3,0,0
2025-26,13,30/11/2025,15:00,14:00,Pisa,Inter,0,2,0,0,0,2,0,2,2,10,14,2,3,4,6,13,15,2,1,0,0
2025-26,13,30/11/2025,18:00,17:00,Atalanta,Fiorentina,2,0,1,1,0,0,1,1,2,21,15,9,3,4,5,15,10,1,3,0,0
2025-26,13,30/11/2025,20:45,19:45,AS Roma,Napoli,0,1,0,0,1,0,1,0,1,8,8,2,5,4,2,14,13,4,3,0,0
2025-26,13,01/12/2025,20:45,19:45,Bologna,Cremonese,1,3,1,0,2,1,3,1,4,29,10,7,5,13,8,13,12,0,2,0,0
